4,6.5,6.7,3.2,5.6,5.4,6.7,1.7,9.1,NaN,NaN,2.2
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.6,2.1
5.6,8.4,6.5,1.8,5,8.2,5.4,2.9,9.9,NaN,2,2.1
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.2,NaN
6.1,7.1,5.7,2.1,5,7.5,4.9,3.9,9.5,NaN,1,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.1,7
6.7,7.4,5.6,2,5.8,4.1,6.1,2.3,8.8,NaN,1.2,7.5
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.9,NaN
8.7,7.5,6.1,2.1,6.7,4.5,6.1,2.3,8.8,NaN,3.1,10.4
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.2,11.6
8.8,7,5.8,2.2,5.3,4.3,7.1,3.4,8.4,NaN,2.8,10.8
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.8,NaN
9.2,7.1,5.3,1.5,4.2,3.8,8.4,2.7,7.3,NaN,4.4,10.9
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.6,10.4
7.9,4.8,4.6,2.3,4.2,4,8.6,2.5,7.2,NaN,NaN,9.6
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.7
7.2,6.8,4.6,1.6,3.1,5,9.6,1.8,8,NaN,NaN,9
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.4
5.3,4.8,6.6,1.9,4.9,3.7,8.1,3,7,NaN,NaN,11.4
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.7,6.4,5.6,2.3,4,4.9,5,1.6,7,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.8,NaN
4,6.5,5.9,2.6,5.7,5.4,5.8,3.5,6.5,NaN,NaN,9.9
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.9
3.1,6.6,6,3.3,6.7,4.9,4.8,4,5.6,NaN,NaN,9.6
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.1
3,7,5.9,3.2,6.5,4.5,3.5,2.9,6,NaN,4.1,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.1,NaN
4.1,6.5,6.1,3.9,5.8,3.7,1.4,2.5,6.3,NaN,4.3,9.4
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,9.5
4,7.1,5.9,4.7,4.4,5.3,2.2,1.4,6.5,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.8,9.6
3.8,8.6,5.7,4.8,4.6,5,1.2,2.4,6.1,NaN,4,10.1
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,10
3.9,8.8,6,4.3,6.8,5.6,1,2.1,6.1,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,11.2
3.4,9.8,5.3,5,4,5.2,2.4,4.3,4.7,NaN,4.1,9.9
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.3,10.3
5.3,9,5.7,5.6,4,5.8,2,4.9,3.9,NaN,4,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.8,11.1
5.5,8.9,6.2,4.1,2.5,6.2,2.3,8.1,4.2,NaN,4.3,11.9
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.9,11.5
4.6,9.1,7.6,4.8,3.2,6,2.7,8.2,4.3,NaN,4.4,11.9
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.9,NaN
5.7,9,7.7,4.3,3.9,6.3,3.7,6.9,4,NaN,6.5,12.8
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.4,NaN
5.4,9.8,7.9,2.9,5,5.3,4.7,7.2,2.6,NaN,6.5,12.7
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.9,12.6
7.7,8.3,7.6,3.1,4.8,4.3,4.1,7.8,1.7,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.9,11.3
8.1,9.9,7.6,2.1,4.4,4.8,4.3,7.6,1.4,NaN,7.9,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.6,10,8,0.9,4.7,4.5,5.9,8.4,1.6,NaN,7.8,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.5,9.2
6.8,9.6,6,0.8,2.9,4.8,5.6,8.7,1.2,NaN,8.4,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.6
6.3,9.3,5.8,0.9,4,2.9,4.3,9.1,1.4,NaN,8.6,9.9
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.1,9
5,7.6,5.2,0.4,4.6,2.4,4.1,10.1,1.9,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.1,NaN
5.3,7.6,4,2.2,4,3.4,4,9.9,2,NaN,8.4,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.5,10
5.6,7.1,2.4,2.1,4.6,4,6.6,10.5,2.8,NaN,8.5,10
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.6,9.8
6.1,7,1.4,2.1,5,4.3,4.4,9.7,2.4,NaN,NaN,9.9
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.7,NaN
